Data;tMax; tMin; UR; insolacao; vel vento; Ra; ETo PM;ETo HS
30/01/2001;29.4;19.1;82;5.5;1.1968;41.42082651;3.991625924;5.24555412
31/01/2001;31.5;17.8;68.5;10.3;1.321466916;41.35377501;5.550032435;6.097350179
01/02/2001;31.6;18.7;72.5;8.6;1.122;41.32634797;5.05490342;5.986337293
02/02/2001;32.2;19.2;71;8.9;1.695466916;41.25625301;5.369280287;6.076262472
03/02/2001;32.9;19.7;76.75;5.7;1.496;41.18396043;4.418085514;6.196540377
04/02/2001;32.4;18.1;69.75;7.5;1.246666916;41.10945128;4.867638116;6.284755926
05/02/2001;32.1;21.2;76.75;7.4;1.695466916;41.03270736;4.900960035;5.654976692
06/02/2001;30.6;17.9;72.25;8.3;1.845066916;40.95371134;5.007624154;5.763508745
07/02/2001;31;19.3;69.25;4.8;1.5708;40.87244678;4.253736919;5.639270058
08/02/2001;27.9;19.6;86.75;0.6;1.545866916;40.78889821;2.572162781;4.585626273
09/02/2001;28.1;19.1;82;2.2;1.221733084;40.70305119;3.048761349;4.747945722
10/02/2001;30.4;18.5;76;7.2;0.324133084;40.61489239;4.33328811;5.559725902
11/02/2001;31;17.6;59;11;1.620666916;40.52440962;5.865694278;5.865835612
12/02/2001;31.4;18.5;62.25;7.1;1.122;40.43159193;4.728929003;5.830978561
13/02/2001;30.5;18.6;70.5;5.7;2.5432;40.33642962;4.622003315;5.535094314
14/02/2001;30.3;17.6;72;9.3;1.5708;40.23891436;5.088358377;5.623625985
15/02/2001;30.9;18.5;70.25;9.8;2.0944;40.13903919;5.454977201;5.64273746
16/02/2001;30.3;18.1;68.5;10.1;1.446133084;40.0367986;5.322416798;5.517254505
17/02/2001;30.2;18.1;72.25;7.7;1.097066916;39.93218858;4.57604616;5.473860215
18/02/2001;31.8;18.9;61;10.1;1.545866916;39.82520669;5.647736643;5.798173402
19/02/2001;31.6;17.6;63.25;11.6;0.872666916;39.71585207;5.591610373;5.919198763
20/02/2001;32.3;17.5;57.25;10.1;1.3464;39.60412553;5.572719079;6.111953939
21/02/2001;32.4;17.2;55.75;10.9;2.0944;39.49002956;6.16558077;6.16185669
22/02/2001;30.9;18;60.75;7.8;1.919866916;39.3735684;5.148226734;5.613464683
23/02/2001;31.9;18.5;63.25;8;1.770266916;39.25474806;5.146767908;5.805367006
24/02/2001;31.9;16.9;72;10.5;1.670533084;39.13357638;5.381410748;6.009471783
25/02/2001;31.4;18.4;62.25;11.3;1.321466916;39.01006305;5.65576383;5.643090235
26/02/2001;30.3;17.7;57.75;11.2;1.7204;38.88421963;5.743147173;5.42110602
27/02/2001;30.2;18;60.5;10.5;2.618;38.75605964;5.879927826;5.329650498
28/02/2001;29.6;17.6;61.5;10.1;2.493333084;38.62559849;5.622316759;5.205274342
01/03/2001;29.7;17.1;59.25;10.5;1.894933084;38.16506856;5.476624536;5.252841779
02/03/2001;30.8;17.3;64.25;11.1;2.219066916;38.02471617;5.675382238;5.502991657
03/03/2001;28.6;17.2;82.25;7.4;1.122;37.88218054;4.025089308;4.899785732
04/03/2001;30.1;18.2;61.5;11.1;0.847733084;37.73749003;5.141307882;5.140418741
05/03/2001;28.5;18.1;89;5.2;2.044533084;37.59067505;3.364376404;4.690113989
06/03/2001;27.9;16.3;78.75;9.2;1.1968;37.44176806;4.361394147;4.789914138
07/03/2001;29.5;18.2;72.75;7.4;1.221733084;37.29080361;4.23547478;4.915301001
08/03/2001;30.1;18.7;77.5;5.1;0.698133084;37.13781827;3.546413273;4.981957335
09/03/2001;25.3;18.4;90.25;0;1.6456;36.98285067;2.033870439;3.626697812
10/03/2001;25.3;18.6;91.5;1.1;0.9724;36.8259415;2.238928783;3.567763431
11/03/2001;29;17.3;81.75;7.4;1.321466916;36.66713344;3.95827182;4.83632792
12/03/2001;22.6;18;87.5;0;1.246666916;36.50647119;1.992298796;2.809246441
13/03/2001;29;18.1;75;9.8;2.418533084;36.34400145;4.781867425;4.672632102
14/03/2001;29.2;19.4;72.75;7.3;1.994666916;36.17977285;4.329823792;4.490811941
15/03/2001;30.6;19.2;65.5;10.2;2.0944;36.013836;5.260915915;4.890319126
16/03/2001;30.5;18.3;69.5;8.4;1.471066916;35.84624337;4.51140462;4.976762714
17/03/2001;30.6;17.6;66.5;10.3;0.847733084;35.67704936;4.69539377;5.077018108
18/03/2001;31.6;17.4;62.5;10.3;0.9724;35.50631017;4.819440889;5.33147127
19/03/2001;31.3;17.9;75;6.8;1.620666916;35.33408381;4.071284822;5.166443806
20/03/2001;29.9;17.7;75.25;4.8;2.119333084;35.16043007;3.656344497;4.81314973
21/03/2001;31;16.3;64.75;9.9;2.268933084;34.98541045;5.074905019;5.238345382
22/03/2001;31;17.6;62;9.5;1.969733084;34.80908811;5.003881174;5.054436651
23/03/2001;31.3;16.7;63.5;9.4;0.922533084;34.63152787;4.443605337;5.211842399
24/03/2001;31.9;17.5;66;9.7;0.6732;34.45279609;4.427660255;5.235793028
25/03/2001;31.8;18.1;54.25;10.7;1.969733084;34.27296068;5.470358164;5.110417037
26/03/2001;32;17.1;66;9.1;1.122;34.092091;4.449453477;5.252046551
27/03/2001;31.2;18.1;73.5;7.5;2.4684;33.91025782;4.332093005;4.910123519
28/03/2001;28.9;18.1;82.25;4.6;1.9448;33.72753329;3.181503469;4.314332528
29/03/2001;25.7;18.2;91;3.2;1.171866916;33.54399081;2.482685269;3.441662025
30/03/2001;25.1;18.8;93;0.4;1.396266916;33.35970505;1.854496969;3.137136563
31/03/2001;22.3;17;91.75;0.1;1.496;33.1747518;1.723633116;2.69599319
01/04/2001;29.9;18.4;71;9.2;1.770266916;33.10060081;4.383357164;4.423755204
02/04/2001;29.7;16.4;78.25;9;1.471066916;32.91484255;3.993721285;4.606680829
03/04/2001;30.1;17.2;71.5;6.8;2.1692;32.72860313;3.969115026;4.577509995
04/04/2001;28.7;18.2;71.5;10;2.418533084;32.54196183;4.508952503;4.086472641
05/04/2001;29.4;18.6;66.75;10.3;2.4684;32.35499879;4.801179326;4.175605521
06/04/2001;30.7;18.4;71.5;10.6;1.620666916;32.16779496;4.543610214;4.48870081
07/04/2001;30.3;18.3;66.75;10.2;2.493333084;31.98043202;4.814428034;4.381812031
08/04/2001;29.5;17.9;67.75;9.1;2.244;31.79299227;4.405480538;4.221903582
09/04/2001;29.5;17;75.75;6.6;1.4212;31.60555864;3.456016433;4.309574367
10/04/2001;30.4;18.1;70;7.6;1.9448;31.41821454;4.014846442;4.353168972
11/04/2001;31.8;20.1;69.25;8.9;1.7952;31.23104382;4.379327323;4.39102066
12/04/2001;30.4;17.7;72.5;8.2;2.119333084;31.04413072;4.037236161;4.349978731
13/04/2001;27.3;14.2;64.5;10.5;3.2164;30.85755973;4.577951659;4.045144265
14/04/2001;27.3;14.6;66.5;10.5;2.194133084;30.67141559;4.198743047;3.979437347
15/04/2001;27.4;15.5;78.25;8.5;1.820133084;30.48578318;3.496765539;3.878166331
16/04/2001;27.7;15.2;74.25;6.9;1.820133084;30.30074745;3.344314911;3.950620918
17/04/2001;26.7;14.5;70.5;10.5;2.268933084;30.11639335;3.976115187;3.795182172
18/04/2001;28.1;14.3;66.5;10.5;1.496;29.93280578;3.931753229;4.074469177
19/04/2001;29.5;15.3;65;10.5;1.446133084;29.75006949;4.059190451;4.234268073
20/04/2001;30.3;14.4;61.25;10;1.446133084;29.56826903;4.058237477;4.447649734
21/04/2001;30.5;15.2;64.5;10.3;1.2716;29.38748866;3.985490189;4.390252193
22/04/2001;30.1;15.4;72.5;7.1;1.770266916;29.2078123;3.463356877;4.266474755
23/04/2001;30.5;17.7;67.25;7.6;1.595733084;29.0293235;3.694514234;4.088614576
24/04/2001;30.9;15.5;58.5;10.3;1.595733084;28.85210528;4.226359184;4.361554689
25/04/2001;29.7;16.8;56.75;10.3;1.969733084;28.67624016;4.397997596;3.972362632
26/04/2001;29.3;15.6;65.5;9.9;1.471066916;28.50181006;3.80785288;3.989477782
27/04/2001;30.1;14.5;61.5;10.1;1.6456;28.32889623;3.998596593;4.215530672
28/04/2001;29.7;14.1;64;9.8;2.044533084;28.15757921;4.008887367;4.148224386
29/04/2001;29.3;15.4;62.25;9.3;1.919866916;27.98793875;3.928223034;3.936188392
30/04/2001;27.5;15.9;61;10.3;3.091733084;27.82005379;4.427317778;3.516362626
01/05/2001;28.9;16.5;67.5;8.8;1.969733084;27.58811251;3.696642739;3.705362844
02/05/2001;29.8;16.8;60.25;9;1.770266916;27.42475737;3.883197313;3.827277058
03/05/2001;30.3;14.7;62.5;9.2;1.2716;27.26341917;3.553424772;4.086683969
04/05/2001;29.8;14.4;67.25;8.1;1.969733084;27.10417255;3.556388389;3.996516618
05/05/2001;23.7;16.6;66.25;3.7;2.268933084;26.94709108;2.855828651;2.56597797
06/05/2001;24.8;6.5;61.25;10.5;0.723066916;26.79224715;2.816996916;3.610087966
07/05/2001;25.3;7.5;60;9.4;0.648266916;26.63971199;2.69910855;3.619416266
08/05/2001;25.9;9.3;67.75;7.4;0.847733084;26.4895556;2.574146536;3.597409078
09/05/2001;28.1;10;59;9.7;1.221733084;26.3418467;3.25027957;3.888345164
10/05/2001;28.1;11;62.25;9.6;0.9724;26.19665271;3.070671585;3.809423491
11/05/2001;30.2;12.8;59;9.6;0.9724;26.05403973;3.260226161;4.021138479
12/05/2001;26;17;86.5;2.9;1.097066916;25.91407248;1.930170945;2.876320409
13/05/2001;22.1;15.8;88.25;3.2;2.119333084;25.77681426;1.839177545;2.238332839
14/05/2001;23.7;15.9;78.75;4;2.343733084;25.64232698;2.340455916;2.534775018
15/05/2001;21.9;14.2;81;3.4;2.8424;25.51067107;2.132674377;2.388808264
16/05/2001;17.8;14.8;94.5;0;0.997333084;25.38190548;1.164447041;1.411046047
17/05/2001;21.9;14.8;88.5;2.4;2.792533084;25.25608766;1.710740364;2.289715936
18/05/2001;21.7;10.5;61.25;9.9;2.0196;25.13327354;3.022248818;2.68355779
19/05/2001;24.8;5.7;65.25;9.7;1.520933084;25.0135175;2.797694835;3.400088897
20/05/2001;24.1;11.2;66;9.4;2.268933084;24.89687235;3.091278198;2.983022065
21/05/2001;24.5;10.5;72.75;7.7;2.1692;24.78338934;2.695616018;3.080152964
22/05/2001;24.5;10.2;78;6.2;1.446133084;24.6731181;2.233869631;3.085756157
23/05/2001;25.3;13.1;74;4.4;1.770266916;24.56610667;2.32433667;2.986982201
24/05/2001;24.5;14.8;70;4.5;2.219066916;24.46240146;2.590737149;2.684237785
25/05/2001;21.5;14.9;81.5;1;1.745333084;24.36204727;1.651396978;2.119537573
26/05/2001;24.9;14.7;70.75;7.4;2.3936;24.26508722;2.890539753;2.740882736
27/05/2001;22.8;14.1;87;0.8;1.595733084;24.17156281;1.463972229;2.43086023
28/05/2001;26.5;15.6;78.25;7.3;1.894933084;24.08151388;2.620315489;2.90497103
29/05/2001;27.3;14.1;78.75;8.5;1.1968;23.99497861;2.588230194;3.156364389
30/05/2001;28.7;14.3;68.75;9.8;1.146933084;23.9119935;2.932828953;3.353306087
31/05/2001;27.1;15.7;70.25;9.7;2.268933084;23.8325934;3.21957892;2.965904765
01/06/2001;27.1;14.7;68.75;8.4;1.9448;23.80184465;2.993543158;3.043830209
02/06/2001;27.5;13.7;68.75;9.6;2.194133084;23.72751889;3.184353404;3.176223792
03/06/2001;27.4;14.2;73.25;9.1;2.1692;23.65685492;2.98703852;3.113287844
04/06/2001;25.1;15.3;82;4.8;0.698133084;23.58988187;1.914658867;2.633361002
05/06/2001;26.2;14.8;76.75;5;1.670533084;23.52662721;2.276565105;2.854952387
06/06/2001;26.9;12.4;76;9.3;1.246666916;23.46711672;2.594283;3.140389783
07/06/2001;27.6;12.4;63.75;9.7;1.845066916;23.4113745;3.130970102;3.237639613
08/06/2001;26.3;12.4;65;9.4;2.3188;23.35942298;3.16275837;3.036101791
09/06/2001;26;11.7;66.25;9.1;1.5708;23.31128291;2.7683714;3.031769446
10/06/2001;26.1;10.9;62.5;9.4;1.770266916;23.26697336;2.943310978;3.089984569
11/06/2001;24.3;13.1;65;9.6;2.967066916;23.22651174;3.259937109;2.662403438
12/06/2001;24.5;11.5;69.75;9.3;2.194133084;23.18991378;2.794472138;2.808935946
13/06/2001;25.5;10.5;67.25;9.6;0.997333084;23.15719355;2.484465678;3.013023929
14/06/2001;26.1;10.9;67.75;9.9;1.0472;23.12836343;2.565676932;3.071576394
15/06/2001;26.7;10.8;66.5;7.2;1.146933084;23.10343417;2.411789451;3.159733701
16/06/2001;26.5;12.9;65.5;6.9;1.969733084;23.08241484;2.798995566;2.995504407
17/06/2001;27.3;10.9;65.75;9.8;0.8228;23.06531283;2.531876893;3.234414227
18/06/2001;27.7;12.4;67;8.7;1.820133084;23.05213392;2.912840709;3.202659238
19/06/2001;26.2;14.2;71;6.2;2.5432;23.0428822;2.766235077;2.846420237
20/06/2001;23.9;13.5;79;5.4;2.144266916;23.03756011;2.173353117;2.544684911
21/06/2001;19.7;9.6;69.75;6.5;1.520933084;23.03616846;2.068795177;2.229326266
22/06/2001;22.9;7.3;77.75;8.1;2.443466916;23.03870639;2.273485504;2.809339893
23/06/2001;24.9;11.4;78.75;6;1.3464;23.04517139;2.07258573;2.856496659
24/06/2001;26.3;13.3;67;7.8;1.87;23.05555933;2.787554774;2.933075099
25/06/2001;25.6;13.2;69.75;9.3;1.620666916;23.06986442;2.717823837;2.835873301
26/06/2001;26.4;11.2;69.5;8.2;1.7204;23.08807923;2.659911641;3.091567139
27/06/2001;21.9;11.7;60;8.1;1.7204;23.11019468;2.627429866;2.396446775
28/06/2001;24.4;5.3;62.25;8.7;2.268933084;23.13620006;2.848705575;3.097989199
29/06/2001;23.9;9.5;59.25;8.3;2.144266916;23.16608303;2.920222721;2.846039667
30/06/2001;25.2;10.1;62.75;9.6;0.473733084;23.1998296;2.234596347;2.999007192
01/07/2001;25.4;9.1;71.5;9.5;1.072133084;23.25353559;2.429172883;3.085729189
02/07/2001;26.1;11.1;64.75;8.6;1.0472;23.29648794;2.508823834;3.079615687
03/07/2001;26.5;9;55.75;9.3;1.0472;23.34324412;2.654069222;3.255002092
04/07/2001;27;9.3;57.5;9.7;1.221733084;23.39378294;2.815867388;3.317341038
05/07/2001;28.9;8.2;48;9.5;1.545866916;23.44808159;3.313649524;3.63558333
06/07/2001;26.2;10.4;55.5;9.8;2.792533084;23.50611566;3.688535765;3.16203921
07/07/2001;24.5;11;70.75;8.2;2.967066916;23.56785908;2.900634953;2.885699439
08/07/2001;25.5;11.1;58.75;9.2;2.742666916;23.63328417;3.469788941;3.034668473
09/07/2001;26.1;10.7;57;9.1;1.4212;23.70236163;2.901355727;3.155978037
10/07/2001;25.7;12.3;60.5;8.3;1.396266916;23.77506055;2.780077251;3.00172168
11/07/2001;26.5;9.9;58.75;9.3;1.745333084;23.8513484;3.084654979;3.278639602
12/07/2001;25.5;12.1;74.5;3.3;1.595733084;23.93119103;2.090186977;3.004679247
13/07/2001;22.7;11.9;73.75;9.5;3.266266916;24.01455272;2.881950543;2.59579532
14/07/2001;23.5;10.6;67;9.7;2.418533084;24.10139612;2.982237079;2.826792573
15/07/2001;25.9;9.1;64.75;8.5;1.097066916;24.19168231;2.572464492;3.279647854
16/07/2001;25.9;10.3;53.5;9.2;1.3464;24.28537078;2.970772475;3.226350395
17/07/2001;26.1;8.6;56.5;9.3;1.4212;24.38241944;2.962222508;3.359000058
18/07/2001;26.9;10;66.25;8.2;1.2716;24.48278465;2.708879204;3.418065868
19/07/2001;28.1;12.2;65.5;8;1.520933084;24.5864212;2.948553527;3.485410161
20/07/2001;28.1;12.5;61;8;1.745333084;24.69328236;3.180827288;3.480926961
21/07/2001;30.3;14.7;58.75;9.3;1.1968;24.80331983;3.258870794;3.698172467
22/07/2001;30.7;15.5;65.75;7.8;2.593066916;24.91648385;3.691348187;3.721548342
23/07/2001;22.5;15.5;74.25;6.1;4.488;25.03272311;2.999269627;2.282859429
24/07/2001;24.5;14.3;77.5;5.7;2.293866916;25.15198484;2.509234938;2.798804622
25/07/2001;27.8;15.3;67.25;7.7;1.595733084;25.2742148;3.047457373;3.29320225
26/07/2001;27.9;14.1;65.5;8.9;1.595733084;25.39935732;3.206951428;3.428619719
27/07/2001;28.7;12.3;57.5;9.5;1.545866916;25.52735527;3.43601282;3.707975195
28/07/2001;23.9;14.1;76.75;2.2;2.244;25.65815015;2.164281725;2.768102214
29/07/2001;21.8;11.2;66.75;7.7;3.9644;25.79168208;3.27577075;2.697173699
30/07/2001;26.3;13.3;63.75;9.4;2.418533084;25.9278898;3.55710469;3.291514803
31/07/2001;25.1;11.6;62;6.4;1.969733084;26.06671076;3.018609234;3.242038076
01/08/2001;26.3;10;48.75;9.6;2.4684;26.12295659;4.035139787;3.542710154
02/08/2001;26.9;9.9;48.25;10.4;2.144266916;26.26532851;3.993528429;3.662799703
03/08/2001;26.7;14.6;59.75;10;3.016933084;26.41015828;4.132568309;3.300162598
04/08/2001;27.4;13.5;51.5;10.4;2.144266916;26.55737907;4.079295474;3.53816965
05/08/2001;27.5;10.4;45.75;9.8;2.792533084;26.70692285;4.55095303;3.791529463
06/08/2001;24.8;10.5;64;8.3;2.493333084;26.85872046;3.357890737;3.363462791
07/08/2001;27.1;10.2;51;10.2;2.4684;27.01270161;4.191491849;3.781021054
08/08/2001;25.1;11;53.75;9.4;2.443466916;27.16879497;3.867295193;3.41628179
09/08/2001;25.1;9.5;51.5;10.4;2.418533084;27.32692817;3.991079858;3.538591926
10/08/2001;24.7;9.1;53.75;8.4;1.770266916;27.48702785;3.381485203;3.518655179
11/08/2001;26.8;14.5;52;6.9;2.792533084;27.64901973;4.177173013;3.48236206
12/08/2001;24.7;12;56.5;9.5;2.867333084;27.81282864;4.028315403;3.346493264
13/08/2001;24.9;12.2;56.5;9.9;3.0668;27.97837856;4.188321155;3.384963595
14/08/2001;25.4;11.4;49.25;10.2;3.390933084;28.14559268;4.707026328;3.560409163
15/08/2001;25.2;11.1;58.5;9.9;2.717733084;28.31439347;3.997522881;3.56964927
16/08/2001;24.5;11.8;50.25;10.4;3.091733084;28.4847027;4.501382823;3.408131502
17/08/2001;25.3;11.2;52.75;10.4;2.867333084;28.65644151;4.377438609;3.622731798
18/08/2001;26.1;11.1;59.25;9.2;2.6928;28.82953049;4.0201578;3.795596165
19/08/2001;27.9;13.6;53;9.8;3.5156;29.00388968;4.999711912;3.948584889
20/08/2001;26.9;11.7;50;9.4;1.994666916;29.17943869;4.135111936;3.941522106
21/08/2001;26.9;11.1;56.5;7.9;1.371333084;29.35609674;3.449342523;4.010195607
22/08/2001;28.9;11.2;53;8.9;1.371333084;29.5337827;3.804471164;4.392007463
23/08/2001;26.4;14.3;75.25;4.7;1.496;29.71241517;2.750693177;3.682292375
24/08/2001;24.9;14.3;80.5;3.2;1.446133084;29.89191255;2.337987426;3.399178165
25/08/2001;28.1;14.5;68.5;7.8;1.595733084;30.07219311;3.540865011;4.049585567
26/08/2001;28.7;13.5;61.25;7.2;1.122;30.25317502;3.409807723;4.284953846
27/08/2001;25.1;15.9;79.75;2.2;1.146933084;30.43477645;2.224672724;3.301961846
28/08/2001;28.1;14.2;77.5;4.8;0.8976;30.61691563;2.728333553;4.152330412
29/08/2001;25.3;16.3;81.5;5.2;1.969733084;30.79951091;2.834081557;3.331004523
30/08/2001;22.8;15.8;81.75;0.6;0.9724;30.98248082;1.860292459;2.840338219
31/08/2001;28.1;13.5;69.25;10.2;1.7952;31.16574417;4.035330413;4.293199806
01/09/2001;27.3;14.2;64.25;8.9;2.0944;31.23911354;4.047315941;4.085416854
02/09/2001;27.8;13;60.25;9.9;1.845066916;31.42265191;4.221930117;4.32829918
03/09/2001;27.7;12.5;53.75;10.8;1.670533084;31.6062903;4.410429418;4.377412874
04/09/2001;29.5;12.9;54;10.6;0.748;31.78994889;3.988661021;4.734721231
05/09/2001;29.3;16.2;50;10.4;2.268933084;31.97354844;5.121130863;4.398518346
06/09/2001;27.1;13.1;60.25;8.4;2.368666916;32.15701031;4.246699378;4.274361623
07/09/2001;25.3;14.4;62.5;9.8;3.5156;32.34025657;4.625678665;3.768057599
08/09/2001;28.5;11.6;55.75;10.4;1.4212;32.52321005;4.325298662;4.743535087
09/09/2001;31.2;14;40.75;10.5;2.144266916;32.7057944;5.532462924;5.136574115
10/09/2001;32;13.4;47.5;10;1.545866916;32.88793417;4.901072256;5.384622957
11/09/2001;32;16.1;65;5.3;1.520933084;33.06955485;3.768095634;5.172895042
12/09/2001;25.9;15.2;63.25;8.8;3.266266916;33.25058295;4.568153285;3.909957501
13/09/2001;23.9;15.1;74.25;2.7;2.892266916;33.43094608;2.951695911;3.467517852
14/09/2001;20.3;15.5;92;0.3;0.947466916;33.61057296;1.70814177;2.46427461
15/09/2001;23.8;16;90;1.4;1.520933084;33.78939354;2.054008142;3.335016611
16/09/2001;18.3;15.1;89.5;0;1.5708;33.96733901;1.674191871;1.965120918
17/09/2001;21.1;8.3;59;11;2.219066916;34.14434187;4.069829979;3.721736188
18/09/2001;22.4;7.5;56.25;10.9;3.266266916;34.32033599;4.531599434;4.067236167
19/09/2001;23.4;9.1;56;10.8;3.266266916;34.49525667;4.729101635;4.163829739
20/09/2001;26.1;10.1;59.75;10.7;3.091733084;34.66904068;4.860979732;4.667129258
21/09/2001;25.6;14.2;59.25;9.2;2.667866916;34.84162628;4.68426156;4.157679065
22/09/2001;21.7;13.5;79.5;2.1;2.244;35.01295333;2.478067084;3.327384485
23/09/2001;23.5;14.1;79.5;4.5;2.1692;35.18296328;2.973041109;3.701236554
24/09/2001;27.7;14;65;8.8;2.443466916;35.35159924;4.560655108;4.741259155
25/09/2001;27.7;16;69.25;5.2;1.969733084;35.518806;3.729732524;4.516217248
26/09/2001;28.5;17.5;85.25;3.8;2.3188;35.68453007;3.046801452;4.527123993
27/09/2001;24.3;17.5;90.5;0.1;1.022266916;35.84871974;1.936185292;3.391802739
28/09/2001;25.4;16.9;78.75;7.5;3.266266916;36.01132508;3.905358464;3.834009677
29/09/2001;25.9;16.3;73;9.1;3.864666916;36.17229797;4.553328635;4.087560596
30/09/2001;23.8;16.3;78.75;1.8;3.2912;36.33159214;2.849939573;3.530933851
01/10/2001;26.1;15.1;72;3.2;3.465733084;36.55169959;3.574035225;4.35718392
02/10/2001;20.7;17.2;97;0;1.446133084;36.70678732;1.709564892;2.362250548
03/10/2001;26.2;17.1;81.25;4.4;2.4684;36.86005314;3.287638907;4.106099073
04/10/2001;29.1;15.1;62.5;10.3;2.717733084;37.01145912;5.348852277;5.172452307
05/10/2001;29.3;16;61.5;7.2;2.1692;37.16096929;4.689192823;5.131831854
06/10/2001;29.7;15.6;56.25;8.6;1.820133084;37.30854963;4.985333522;5.305119737
07/10/2001;25.2;17.2;75.5;6.7;2.792533084;37.45416803;3.981076314;3.867997891
08/10/2001;18.9;15.5;93.25;0;2.3188;37.59779438;1.725848434;2.271768598
09/10/2001;22.1;15.5;86.5;0.5;2.219066916;37.73940047;2.159229446;3.322461998
10/10/2001;26.7;16.1;73.25;7.2;1.7952;37.87896006;4.086801779;4.526544184
11/10/2001;27.9;16.7;66.25;9.3;2.343733084;38.01644882;4.975815077;4.777188454
12/10/2001;28.9;15.8;59.75;11.1;2.4684;38.15184436;5.647359915;5.191607811
13/10/2001;27.5;14;58.25;9.7;2.892266916;38.28512619;5.382213981;5.078133934
14/10/2001;26.7;14.5;61.5;6.4;2.1692;38.41627572;4.37875651;4.825327689
15/10/2001;27.8;15.7;55.25;9;2.642933084;38.54527623;5.424606262;4.96624682
16/10/2001;27.5;15.4;54.5;10.8;2.892266916;38.67211284;5.836490843;4.944993168
18/10/2001;28.3;14.1;61.75;9.4;2.293866916;38.91924399;5.133262146;5.357267786
19/10/2001;26.1;17.6;79;0.4;2.144266916;39.0395178;2.673502618;4.227119346
20/10/2001;25.9;17;86.25;5.5;1.146933084;39.1575862;3.467457121;4.294920363
21/10/2001;29.1;15.4;63.25;9.7;1.620666916;39.27344313;5.082221871;5.453600737
22/10/2001;26.1;17.7;73.5;5.5;3.041866916;39.38708421;4.113265196;4.24543741
23/10/2001;28.3;15.2;62;11.2;1.3464;39.49850667;5.268549829;5.296854624
24/10/2001;28.7;17;65.25;10;2.6928;39.60770934;5.483094404;5.159470093
25/10/2001;26.7;19.8;52.5;11.4;3.415866916;39.71469256;6.524659567;4.012151459
26/10/2001;27.1;14;46.75;11.5;2.219066916;39.81945817;5.920880987;5.178466173
27/10/2001;28.2;12.6;53.75;11.3;2.343733084;39.92200944;5.78775292;5.643636889
28/10/2001;30.2;13.2;48;11.5;1.097066916;40.02235106;5.510543947;6.107468516
29/10/2001;30.7;15.1;52.5;11;0.8976;40.12048903;5.368737668;6.043324689
30/10/2001;31.3;15.6;54.25;11;2.568133084;40.21643063;6.336835688;6.159508527
31/10/2001;30.3;16.9;67;4.8;1.994666916;40.3101844;4.300935056;5.724688714
01/11/2001;30.7;16;67;7.8;2.593066916;40.34707545;5.139853622;5.973495852
